State,State requires computer science credit to substitute for mathematics graduation credit,State requires computer science credit to substitute for science graduation credit,State requires computer science credit to substitute for other graduation credits1,District decides whether computer science credit substitutes for a math graduation credit,,District decides whether computer science substitutes for a science graduation credit,,District decides whether computer science substitutes for other graduation credits
United States2,24,9,4,4,,1,,0
Alabama,Yes,No,No,No,,No,,No
Alaska,No,No,No,No,,No,,No
Arizona,No,No,No,Yes,,No,,No
Arkansas,Yes,Yes,No,No,,No,,No
California,No,No,No,Yes,,No,,No
Colorado,No,No,No,No,3,No,3,No
Connecticut,No,No,No,No,,No,,No
Delaware,No,No,No,No,,No,,No
District of Columbia,Yes,No,No,No,,No,,No
Florida,Yes,Yes,No,No,,No,,No
Georgia,Yes,Yes,No,No,,No,,No
Hawaii,No,No,No,No,,No,,No
Idaho,Yes,Yes,No,No,,No,,No
Illinois,Yes,No,No,No,,No,,No
Indiana,No,No,No,No,,No,,No
Iowa,No,No,No,No,,No,,No
Kansas,No,No,No,No,,No,,No
Kentucky,No,No,No,Yes,,No,,No
Louisiana,Yes,No,No,No,,No,,No
Maine,No,No,No,No,,No,,No
Maryland,Yes,No,Yes,No,,No,,No
Massachusetts,No,No,No,No,,No,,No
Michigan,Yes,Yes,No,No,,No,,No
Minnesota,Yes,No,No,No,,No,,No
Mississippi,No,No,No,No,,No,,No
Missouri,No,No,No,No,,No,,No
Montana,No,No,No,No,,No,,No
Nebraska,No,No,No,No,,No,,No
Nevada,No,No,No,No,,No,,No
New Hampshire,No,No,No,No,,No,,No
New Jersey,Yes,No,No,No,,No,,No
New Mexico,No,No,No,No,,No,,No
New York,No,No,No,Yes,,Yes,,No
North Carolina,Yes,No,No,No,,No,,No
North Dakota,Yes,No,No,No,,No,,No
Ohio,Yes,No,No,No,,No,,No
Oklahoma,Yes,No,Yes,No,,No,,No
Oregon,No,No,No,No,,No,,No
Pennsylvania,Yes,Yes,No,No,,No,,No
Rhode Island,No,No,No,No,,No,,No
South Carolina,No,No,No,No,,No,,No
South Dakota,No,No,No,No,,No,,No
Tennessee,Yes,No,No,No,,No,,No
Texas,Yes,No,Yes,No,,No,,No
Utah,Yes,Yes,No,No,,No,,No
Vermont,No,No,No,No,,No,,No
Virginia,Yes,Yes,Yes,No,,No,,No
Washington,Yes,Yes,No,No,,No,,No
West Virginia,Yes,No,No,No,,No,,No
Wisconsin,Yes,No,No,No,,No,,No
Wyoming,No,No,No,No,,No,,No